round,strategy,display_name,role,policy,transition_variant,gate_mode,seed_index,transition_l1_error,off_support_leakage,reward_pct_oracle,top1_agreement,top2_agreement
100,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,7,0.17914886545001135,0.04099414610050389,92.94001636315024,0.52,0.71
100,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,7,0.1814660950583371,0.03873177970164688,91.26415253395835,0.69,0.76
100,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,7,0.1897755896159023,0.04455919448588135,85.21956931358201,0.46,0.63
100,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,7,0.16697108406151587,0.0424200492593702,94.32830766653203,0.56,0.8
100,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,7,0.10977043933704388,0.024638485361888177,95.17530921792257,0.55,0.75
100,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,7,0.10860257610988501,0.025365502244056017,96.7218840809156,0.79,0.86
100,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,7,0.11413027222715004,0.02643595370359351,93.31403597945256,0.65,0.81
100,Adp. + beta gate prior,Beta-gate prior,Refined TM-TW,tm_tw_refined,gated_offline,beta,7,0.11119389217432334,0.024739611399951324,86.70588885326772,0.6,0.71
100,Adp. + beta gate + LR,Beta-gate + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,beta,7,0.11180783387274194,0.026693572518041702,96.09654885777465,0.69,0.85
100,Adp. + support/offline,Support + offline,Refined TM-TW,tm_tw_refined,support_offline,deterministic,7,0.08582946440734254,2.2654215560950447e-07,93.13165677709678,0.63,0.82
100,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,8,0.17392979436416664,0.04319902586887643,96.50448229786758,0.65,0.85
100,TW,TW,TW,tw,dense,deterministic,8,0.18735887951696828,0.038024339290774554,90.84184318283782,0.59,0.71
100,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,8,0.175854137667841,0.03562247232543531,92.35389410051319,0.58,0.76
100,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,8,0.17595345734651635,0.04061671327230438,89.821991435696,0.58,0.74
100,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,8,0.17392525500764627,0.0388243660479919,81.18145351419699,0.38,0.71
100,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,8,0.16673515844457745,0.03596874546807895,91.01332622820779,0.52,0.75
100,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,8,0.16962219483348526,0.04395640086560283,91.29240493092463,0.43,0.64
100,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,8,0.10862945413035127,0.026624520406688477,91.04755073700083,0.44,0.67
100,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,8,0.10527779549928656,0.025199640142341596,84.12688377078075,0.37,0.59
100,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,8,0.11415048715103149,0.027266243759488183,94.5968180824141,0.45,0.67
100,Adp. + beta gate prior,Beta-gate prior,Refined TM-TW,tm_tw_refined,gated_offline,beta,8,0.12051066224005978,0.027044669552110864,95.48929405680494,0.5,0.69
100,Adp. + beta gate + LR,Beta-gate + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,beta,8,0.11436027890555668,0.0257615702404547,91.86042427175425,0.4,0.66
100,Adp. + support/offline,Support + offline,Refined TM-TW,tm_tw_refined,support_offline,deterministic,8,0.08186468398902347,2.2714866139281109e-07,92.15224975616722,0.54,0.68
100,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,9,0.1594317446699977,0.04070656806310734,88.28264023860206,0.54,0.74
