S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
8,0.0,1.0,1.0,deterministic,0.1,exp4_dense,10,97.16147472020484,0.11746929053868012,0.033257398549101216,0.647,0.8251000000000002,1186.3997815298164
8,0.0,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,94.28685340404539,0.10868580282158588,0.018347709576998578,0.7209000000000001,0.8814,2506.881752781289
8,0.0,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,95.41892295813666,0.11127799768163846,0.01805852151806968,0.751,0.8991,2044.3136798793967
8,0.0,1.0,1.0,deterministic,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,1.0,deterministic,0.1,state_thompson,10,96.9139007751401,0.10696716531914643,0.026922326923908335,0.6327999999999999,0.8256,1273.5073478291947
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_dense,10,94.84662873153073,0.11322900399371545,0.018168746752119012,0.7193999999999999,0.8726,2261.8390193587206
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,94.59990437155304,0.06875169398136459,0.013850000296461485,0.7271,0.8884000000000001,2393.08669451916
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,10,90.98222569337875,0.06940099960470925,0.014638509265591581,0.6104999999999999,0.7962,3996.731240108561
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,96.73971615207314,0.07001473177819348,0.01413534515802615,0.7449999999999999,0.8915,1438.0200212231466
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,10,96.8670021687667,0.07014446410847253,0.014040715497874454,0.7353,0.8881,1351.9250449990527
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,96.66382531912349,0.055382812199436714,1.2146893062646212e-07,0.7646999999999999,0.9123999999999999,1445.5949462792603
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,93.34578701439175,0.05842033180895876,1.2210760496057005e-07,0.6992,0.8775000000000001,2975.8837444289356
8,0.0,1.0,1.0,deterministic,0.1,tw_dense,10,94.68124845687586,0.1145084084088978,0.01784965933695123,0.7352000000000001,0.8973000000000001,2318.953298441199
8,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline,10,94.83056716023624,0.07047088501045654,0.013606565879091514,0.7379,0.8915,2288.493837857156
8,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,10,93.57987754378,0.07125979535333471,0.013862665565006094,0.6646000000000001,0.861,2760.4330858178582
8,0.0,1.0,1.0,deterministic,0.1,tw_support_offline,10,94.82264319580013,0.05527782126991924,1.1891081410248201e-07,0.7348999999999999,0.897,2262.579209357483
