policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
exp4,20261399,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,40.879926031641006,40879.92603164101,40788.419296930806,100.22434489074963,-91.50673471020127,0.685,0.882,0.11043832403164885,0.021659678626375488,4.716929209,exp4_dense,context_noise_refinement
tw,20261249,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,40.33742755537159,40337.42755537159,42297.99015125572,95.36488001232861,1960.5625958841265,0.763,0.911,0.10483829844283263,0.01669344615992037,4.536454542000001,tw_dense,context_noise_refinement
tm_tw,20261569,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,41.22246146881671,41222.46146881671,42652.352100447904,96.6475690994397,1429.8906316311914,0.837,0.947,0.12441609766847586,0.016210652430050453,4.631911958999979,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262397,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,42.19675328269633,42196.75328269633,42941.64378661067,98.26534236179704,744.8905039143428,0.82,0.938,0.10638803472432404,0.017022864805911257,4.641661999999997,tm_tw_refined_dense,context_noise_refinement
tw,20262073,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,39.38385437072228,39383.854370722285,42685.23719172027,92.26575031978888,3301.382820997984,0.645,0.858,0.07765085480111511,0.015014716518241695,4.558897416999969,tw_gated_offline,context_noise_refinement
tm_tw,20262393,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,40.88991104008166,40889.91104008166,42329.15860943246,96.59986728621134,1439.2475693508022,0.76,0.926,0.07012079803029901,0.01372430071579937,4.661000541000021,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263221,1000,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,40.41739582216319,40417.39582216319,42381.609587491126,95.36541017567282,1964.213765327935,0.714,0.837,0.07440937845419723,0.012046254266246796,4.681438082999989,tm_tw_refined_gated_offline,context_noise_refinement
tw,20263029,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,38.62474886602387,38624.748866023874,42088.184253312764,91.77100307667399,3463.4353872888896,0.607,0.8,0.07636579089874122,0.015598841281063498,4.9849120000000084,tw_gated_offline_low_rank,context_noise_refinement
tm_tw,20263349,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,37.98159311349565,37981.59311349565,42126.93440780701,90.15987905936221,4145.341294311365,0.632,0.813,0.07398856724572837,0.014880700550743713,5.097353374999955,tm_tw_gated_offline_low_rank,context_noise_refinement
tm_tw_refined,20264177,1000,8,2,0.0,0.45,0.0,gated_offline_low_rank,1.0,1.0,deterministic,20.0,0.1,0.95,False,41.198066985529174,41198.06698552917,42628.24692497726,96.64499470981036,1430.1799394480913,0.74,0.861,0.07359924604585394,0.01395079126348133,5.087162040999999,tm_tw_refined_gated_offline_low_rank,context_noise_refinement
