policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,mix_trust_min,mix_trust_max,gate_scale_mult,beta_gate_concentration,regions
tw,dense,deterministic,tw_dense,TW,Full recompute TW,4,5,3,60,8,2,250,0,7355.895680414655,1838973.9201036636,40.601384958000004,10,0,4800,0.0,0.01,0.98,1.0,20.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tw,dense,deterministic,tw_dense,TW,Full recompute TW,4,15,3,180,8,2,250,0,1081.9723651499562,270493.09128748905,603.433376958,10,0,14400,0.0,0.01,0.98,1.0,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
