policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,regions
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,6567.492355962896,1641873.088990724,0.03454220899999427,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,2083.144668826568,520786.1672066419,0.05963295899999821,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,4952.126058711527,1238031.5146778817,12.029538666999997,10,0,1554,51.4375,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,4139.122014843157,1034780.5037107891,11.523090208000013,10,0,1486,53.5625,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,2291.5305922225807,572882.6480556452,11.765971915999984,10,0,1498,53.1875,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,3913.4490530729386,978362.2632682347,11.533411292000011,10,0,1471,54.03125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,3726.4677787939236,931616.9446984809,11.030514417000006,10,0,1393,56.46875,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,4901.059874680385,1225264.9686700962,12.399900166999998,10,0,1552,51.5,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,3810.9677289738243,952741.932243456,12.447305790999991,10,0,1591,50.28125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,4199.827897050337,1049956.9742625842,12.12911541599999,10,0,1451,54.65625000000001,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,3717.214845328646,929303.7113321614,12.461117041999955,10,0,1589,50.34375,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,2962.843465271961,740710.8663179902,0.034392916000001605,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1726.9074699082307,431726.8674770577,0.049097458000005645,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1773.3122542298968,443328.0635574742,11.969085124999992,10,0,1501,53.09375000000001,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,888.1198021942682,222029.95054856705,11.280396332999999,10,0,1442,54.93749999999999,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,2324.3546924874013,581088.6731218504,10.546944292000035,10,0,1328,58.5,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1405.9947792358603,351498.6948089651,11.622586749999982,10,0,1483,53.65625000000001,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1562.936391248208,390734.097812052,11.064830667000024,10,0,1419,55.65625000000001,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,2239.9680894502603,559992.022362565,11.448774209000021,10,0,1455,54.53125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1643.7067540092207,410926.6885023052,12.595927916999983,10,0,1580,50.625,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1638.801319803325,409700.32995083125,12.008129333,10,0,1524,52.37499999999999,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1121.583763389687,280395.94084742176,12.098188375000007,10,0,1575,50.78125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,1224.702125107862,306175.5312769655,0.0338281249999568,0,0,0,100.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,484.76560179308177,121191.40044827045,0.04591604099999813,0,0,0,100.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,517.4254212151668,129356.3553037917,13.484427749999952,10,0,1624,66.16666666666666,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,403.06054123011603,100765.13530752901,13.372925874999964,10,0,1628,66.08333333333334,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,561.0220937010308,140255.5234252577,12.125672375000022,10,0,1432,70.16666666666667,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,453.87903167781514,113469.75791945378,14.937541416999977,10,0,1820,62.083333333333336,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,411.68925481934184,102922.31370483545,14.347414749999984,10,0,1728,64.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,750.4726787224946,187618.16968062366,11.971942000000013,10,0,1431,70.1875,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,891.5933571888766,222898.33929721915,11.872996999999998,10,0,1410,70.625,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,613.2478339449049,153311.9584862262,12.412480458000005,10,0,1432,70.16666666666667,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,552.2684959542006,138067.12398855016,13.045384667000008,10,0,1572,67.25,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,4102.0320758710195,1025508.0189677548,0.034703165999985686,0,0,0,100.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,671.23901133415,167809.7528335375,0.04624183400005677,0,0,0,100.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,686.5242246299161,171631.05615747903,13.297020249999946,10,0,1599,66.6875,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,3417.378693524916,854344.6733812289,11.554820167000003,10,0,1371,71.4375,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,3788.581947320806,947145.4868302016,10.08182787499993,10,0,1264,73.66666666666667,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1535.9278483776536,383981.9620944134,13.422293583999931,10,0,1626,66.125,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,2224.272477179826,556068.1192949566,13.178483749999941,10,0,1559,67.52083333333334,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,704.7791197477251,176194.77993693127,11.87992158399993,10,0,1487,69.02083333333333,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1551.004460842084,387751.115210521,13.776424874999975,10,0,1708,64.41666666666667,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,2624.400454033456,656100.113508364,13.472085708000009,10,0,1553,67.64583333333334,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1666.3565884932223,416589.1471233056,12.856673290999993,10,0,1551,67.6875,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
