policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,regions,oracle_avg_reward,oracle_cum_reward,avg_reward_pct_oracle,avg_reward_gap_to_oracle,cum_reward_pct_oracle
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,3058.346274321737,764586.5685804342,9.126189791999993,10,0,1222,23.625,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,53.61727633463803,2645.685118906593,53.61727633463802
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,2954.2162439359804,738554.0609839951,8.756671292000021,10,0,1176,26.5,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,51.79172483943804,2749.8151492923494,51.79172483943803
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,4087.8802752935976,1021970.0688233994,8.637270916999995,10,0,1128,29.500000000000004,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,71.66651081455507,1616.1511179347322,71.66651081455508
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,3090.5064947037617,772626.6236759404,9.012827791999996,10,0,1178,26.375000000000004,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,54.1810919619539,2613.524898524568,54.1810919619539
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,2643.146037582914,660786.5093957285,9.08222999999998,10,0,1204,24.750000000000007,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,46.338209861901966,3060.885355645416,46.338209861901966
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,6567.492355962896,1641873.088990724,0.0345422089999942,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,100.0,0.0,100.00000000000001
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,2083.144668826568,520786.1672066419,0.0596329589999982,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,31.719026927152726,4484.347687136328,31.719026927152726
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,4952.126058711527,1238031.5146778815,12.029538666999995,10,0,1554,51.4375,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,75.40360597778675,1615.3662972513694,75.40360597778675
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,4139.122014843157,1034780.5037107893,11.523090208000012,10,0,1486,53.5625,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,63.02439029236293,2428.3703411197394,63.02439029236293
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,2291.5305922225807,572882.6480556452,11.765971915999984,10,0,1498,53.1875,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,34.89201765331338,4275.961763740315,34.89201765331338
