policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,regions,oracle_avg_reward,oracle_cum_reward,avg_reward_pct_oracle,avg_reward_gap_to_oracle,cum_reward_pct_oracle
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2346.3614042798176,586590.3510699545,21.07436837500001,10,0,2572,46.41666666666666,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,48.22271310038334,2519.315479962446,48.22271310038334
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2463.8248442880117,615956.2110720028,22.00513741700001,10,0,2583,46.1875,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,50.6368364135981,2401.8520399542517,50.63683641359808
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2950.750009852477,737687.5024631193,20.982968916000004,10,0,2603,45.770833333333336,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,60.64418332850313,1914.9268743897865,60.64418332850313
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2898.9549546041108,724738.7386510277,21.508922332999987,10,0,2582,46.20833333333333,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,59.57968487370216,1966.7219296381527,59.57968487370216
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2593.947467532621,648486.8668831552,21.61216279200005,10,0,2561,46.64583333333333,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,53.31113284429652,2271.7294167096425,53.311132844296516
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,6108.08222973734,1527020.557434335,0.0372620409999626,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,100.00000000000001,0.0,99.99999999999999
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,1185.2227343985385,296305.68359963456,0.0491242919999876,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,19.404171224615382,4922.859495338801,19.40417122461538
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3096.557677752374,774139.4194380934,83.99884879200005,10,0,3149,67.19791666666667,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,50.69607057149151,3011.524551984966,50.69607057149151
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,4328.302566622444,1082075.6416556109,73.42740249999997,10,0,2754,71.3125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,70.86189091479487,1779.7796631148958,70.86189091479486
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3229.925990850719,807481.4977126797,73.52971370800003,10,0,2732,71.54166666666666,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,52.87954335528997,2878.156238886621,52.87954335528997
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,4184.205288815348,1046051.3222038368,83.1018070419999,10,0,3119,67.51041666666666,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,68.50276619467314,1923.8769409219922,68.50276619467313
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3492.237108420603,873059.2771051507,81.68750908300001,10,0,3091,67.80208333333333,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,57.17403559858061,2615.845121316737,57.174035598580616
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3540.286829320785,885071.7073301962,84.47975579199999,10,0,2977,68.98958333333334,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,57.960693654136094,2567.795400416555,57.9606936541361
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3841.66661334008,960416.6533350198,87.79750954199994,10,0,3223,66.42708333333334,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,62.894808367785835,2266.41561639726,62.89480836778583
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3194.4524874456174,798613.1218614044,82.680072,10,0,3018,68.5625,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,52.298779998300475,2913.6297422917223,52.298779998300475
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3824.224081091571,956056.0202728928,95.02575779199992,10,0,2949,69.28125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6108.08222973734,1527020.557434335,62.60924357686685,2283.858148645769,62.60924357686685
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,4039.7445302772,1009936.1325693,0.0386941249998926,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,100.0,0.0,99.99999999999999
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1674.3350875606036,418583.7718901509,0.0578238750001673,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,41.446558687356244,2365.4094427165965,41.446558687356244
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1333.347894635359,333336.9736588397,89.09405987500008,10,0,2902,69.77083333333334,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,33.005747879405305,2706.396635641841,33.005747879405305
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1216.4455675053557,304111.39187633886,90.093062208,10,0,2848,70.33333333333334,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,30.11194293075472,2823.2989627718443,30.11194293075471
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,945.9977875512672,236499.44688781683,88.59413279199998,10,0,2816,70.66666666666667,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,23.417267613364512,3093.7467427259326,23.417267613364515
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1543.7386683788584,385934.6670947146,99.81888041599996,10,0,3122,67.47916666666667,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,38.21376962847029,2496.005861898341,38.21376962847029
