gate_scale_mult,beta_gate_concentration,policy_label,display_name,mix_trust_min,grid_states,S,n,mean_avg_reward,mean_avg_reward_pct_oracle,mean_computation_saving_pct,margin_vs_best_baseline,margin_vs_tw
0.5,80.0,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,0.4,15,60,2,1627.7691565246469,68.5106250155815,68.83333333333334,-0.5731365540907944,31.25889590491323
1.0,20.0,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,0.4,15,60,2,1557.8650431416436,66.66926148332726,68.6875,-2.414500086345029,29.417532372658997
2.0,80.0,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,0.4,15,60,2,1389.7308959409966,64.56449554455898,68.51041666666667,-4.5192660251133105,27.312766433890715
2.0,5.0,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,0.4,15,60,2,1481.8966594843896,63.097766216929784,69.6875,-5.985995352742506,25.84603710626152
1.0,80.0,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,0.4,15,60,2,1309.2012334265323,60.22116079847379,67.84375,-8.862600771198501,22.969431687805525
0.5,20.0,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,0.4,15,60,2,1447.9373485533697,59.52876943182618,67.96875,-9.554992137846114,22.277040321157912
1.0,5.0,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,0.4,15,60,2,1475.0563960117988,57.24200239543285,68.8125,-11.841759174239442,19.990273284764584
0.5,80.0,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,0.4,15,60,2,1304.2355958758876,54.97030012537431,67.58333333333333,-14.113461444297982,17.718571014706043
1.0,80.0,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,0.4,15,60,2,1349.222304742796,54.65457329560016,66.64583333333334,-14.429188274072132,17.402844184931894
2.0,20.0,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,0.4,15,60,2,1390.248610013157,51.39654293206547,68.72916666666666,-17.68721863760682,14.144813821397207
0.5,5.0,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,0.4,15,60,2,1348.1450467994164,46.59223383101248,68.59375,-22.491527738659812,9.340504720344214
2.0,80.0,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,0.4,15,60,2,1119.849224165317,44.24493718300896,66.25,-24.838824386663333,6.993208072340693
0.5,20.0,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,0.4,15,60,2,685.3435409223373,40.092524015955775,68.63541666666666,-28.991237553716516,2.8407949052875097
2.0,20.0,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,0.4,15,60,2,1087.7586085231533,38.385515718147104,66.63541666666667,-30.698245851525186,1.1337866074788394
1.0,20.0,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,0.4,15,60,2,852.1303108634759,34.55223511856325,64.875,-34.53152645110904,-2.699493992105012
1.0,5.0,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,0.4,15,60,2,547.0081253144051,30.900844461052195,68.95833333333334,-38.182917108620096,-6.35088464961607
0.5,5.0,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,0.4,15,60,2,548.3853167640536,29.33888019619584,66.8125,-39.744881373476446,-7.9128489144724234
2.0,5.0,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,0.4,15,60,2,474.9645550842562,23.918489879886685,67.78125,-45.165271689785605,-13.33323923078158
