policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,regions
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,6108.08222973734,1527020.557434335,0.037262040999962665,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,1185.2227343985383,296305.68359963456,0.04912429199998769,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3096.557677752374,774139.4194380934,83.99884879200005,10,0,3149,67.19791666666667,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,4328.302566622444,1082075.6416556109,73.42740249999997,10,0,2754,71.3125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3229.925990850719,807481.4977126797,73.52971370800003,10,0,2732,71.54166666666666,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,4184.205288815348,1046051.3222038369,83.1018070419999,10,0,3119,67.51041666666666,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3492.237108420603,873059.2771051507,81.68750908300001,10,0,3091,67.80208333333333,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3540.286829320785,885071.7073301962,84.47975579199999,10,0,2977,68.98958333333334,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3841.6666133400795,960416.6533350198,87.79750954199994,10,0,3223,66.42708333333334,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3194.4524874456174,798613.1218614044,82.680072,10,0,3018,68.5625,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,0,3824.224081091571,956056.0202728928,95.02575779199992,10,0,2949,69.28125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,4039.7445302772,1009936.1325693,0.038694124999892665,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1674.3350875606036,418583.7718901509,0.05782387500016739,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1333.347894635359,333336.9736588397,89.09405987500008,10,0,2902,69.77083333333334,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1216.4455675053555,304111.39187633886,90.09306220799999,10,0,2848,70.33333333333334,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,945.9977875512673,236499.44688781683,88.59413279199998,10,0,2816,70.66666666666667,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1543.7386683788584,385934.6670947146,99.81888041599996,10,0,3122,67.47916666666667,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1563.3774475340806,390844.36188352015,86.7552995420001,10,0,2997,68.78125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1949.208083743751,487302.02093593776,89.74406666599998,10,0,2919,69.59375,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG"
