trust_floor,policy_label,display_name,mean_avg_reward,mean_avg_reward_pct_oracle,mean_computation_saving_pct,margin_vs_best_baseline,margin_vs_tw
0.01,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,1618.8241439891804,57.02564073555541,68.90625,-12.058120834116878,19.77391162488715
0.01,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,1221.2989090154801,55.3057353772588,67.52083333333334,-13.778026192413492,18.054006266590534
0.01,tm_tw_refined_support_offline,Adaptive + support/offline,1109.3125422237115,42.85840880606137,67.46875,-26.22535276361092,5.606679695393105
0.01,tm_tw_refined_dense,Adaptive TM-TW,727.6258992351098,39.229597745869555,69.60416666666666,-29.854163823802736,1.9778686352012897
0.2,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,1221.2989090154801,55.3057353772588,67.52083333333334,-13.778026192413492,18.054006266590534
0.2,tm_tw_refined_support_offline,Adaptive + support/offline,1221.579008911613,52.025247369194744,69.29166666666667,-17.058514200477546,14.77351825852648
0.2,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,1137.323634080397,40.50925096642964,69.84375,-28.57451060324265,3.257521855761375
0.2,tm_tw_refined_dense,Adaptive TM-TW,673.030656363967,34.77175924360235,69.27083333333333,-34.312002326069944,-2.4799698670659183
0.3,tm_tw_refined_support_offline,Adaptive + support/offline,1417.094033055675,63.31314192284788,67.51041666666667,-5.770619646824407,26.06141281217962
0.3,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,1418.50152369793,55.289880604777736,68.33333333333334,-13.793880964894555,18.03815149410947
0.3,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,1095.7185762705694,49.20727655171728,69.125,-19.876485017955012,11.955547441049013
0.3,tm_tw_refined_dense,Adaptive TM-TW,1003.3691613587139,44.99188779238299,69.80208333333334,-24.0918737772893,7.740158681714725
0.4,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,1557.8650431416436,66.66926148332726,68.6875,-2.414500086345029,29.417532372658997
0.4,tm_tw_refined_dense,Adaptive TM-TW,1366.8669876729127,59.136443033883694,70.05208333333334,-9.947318535788597,21.88471392321543
0.4,tm_tw_refined_support_offline,Adaptive + support/offline,1243.9075330234377,49.1720298530877,68.08333333333334,-19.91173171658459,11.920300742419435
0.4,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,852.1303108634759,34.55223511856325,64.875,-34.53152645110904,-2.699493992105012
