type_mix,G,S,best_baseline_name,best_baseline_pct_oracle,tw_pct_oracle,best_refined_pct_oracle,best_refined_variant,margin_vs_baseline,margin_vs_tw
Heter.,5,60,State Thompson,64.42752202109071,59.7605903101432,73.1587037115566,Adp. TM--TW + beta gate + low-rank,8.731181690465888,13.398113401413397
Heter.,10,120,Global UCB+TW,50.4869169227748,53.35826791157172,54.78370445915466,Adp. TM--TW + beta gate prior,4.29678753637986,1.4254365475829402
Heter.,15,180,Global UCB+TW,77.16041136893917,23.19383846168945,30.18264561574753,Adp. TM--TW,-46.97776575319163,6.98880715405808
Homo.,5,20,State Thompson,62.47315350221278,54.706725664068,65.52375804226719,Adp. TM--TW + support/offline prior,3.050604540054408,10.817032378199187
Homo.,10,40,Local UCB+TW,67.62765420268883,53.52120796148971,75.11400910249566,Adp. TM--TW,7.486354899806827,21.59280114100595
Homo.,15,60,EXP4,69.08376156967229,37.251729110668265,57.02564073555541,Adp. TM--TW + beta gate + low-rank,-12.058120834116878,19.77391162488715
