S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
100,0.0,1.0,1.0,deterministic,0.1,exp4_dense,3,71.9240875335666,0.3606996231919956,0.009228570899498035,0.49,0.71,282081.66206584615
100,0.0,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,3,41.565502782973276,0.36029718166491714,0.009219439703132852,0.24666666666666667,0.5166666666666667,576662.1604948227
100,0.0,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,3,46.1460432908731,0.36054582521386874,0.00922485273445481,0.32,0.5466666666666666,537337.6160074947
100,0.0,1.0,1.0,deterministic,0.1,oracle,3,100.0,0.3598936427385156,0.009208814688379842,1.0,1.0,0.0
100,0.0,1.0,1.0,deterministic,0.1,state_thompson,3,45.83631249124064,0.3608145934828866,0.009231455366961242,0.27,0.4533333333333333,516372.8838033788
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_dense,3,52.11397668447244,0.3602279544942287,0.009217378962251025,0.36999999999999994,0.5433333333333333,451882.4209048913
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,3,54.5197748615824,0.30683248473491237,0.007851143639206908,0.3466666666666667,0.5166666666666667,494438.39661814575
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,3,39.48400077643016,0.307017266008294,0.007856090238353864,0.24,0.4266666666666667,666314.8485008051
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,3,63.4348990474759,0.36139473984148934,0.009246149973587033,0.4166666666666667,0.66,337226.5420587558
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,3,75.43270209868304,0.30706259048210344,0.00785722173103698,0.49,0.7333333333333333,259050.08843102714
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,3,68.24102961136707,0.30756312249484596,0.007868624761589057,0.4266666666666667,0.69,315672.9200813656
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,3,70.03626116697775,0.07066114619249886,4.273532263771927e-07,0.38999999999999996,0.65,307082.4476939264
100,0.0,1.0,1.0,deterministic,0.1,tm_tw_support_offline,3,47.26730478764575,0.07020788308553676,4.2717665820948416e-07,0.33666666666666667,0.5533333333333333,497636.6822928072
100,0.0,1.0,1.0,deterministic,0.1,tw_dense,3,40.64379431473994,0.36079407987467965,0.00923140598677751,0.27999999999999997,0.47333333333333333,584889.1506799012
100,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline,3,42.72357709761122,0.3071423134090236,0.007858314733066852,0.2333333333333333,0.43,586416.4801964826
100,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,3,33.199370683390775,0.3072658812177983,0.007862361872026909,0.19000000000000003,0.35666666666666663,694445.6827406845
100,0.0,1.0,1.0,deterministic,0.1,tw_support_offline,3,55.29430025725312,0.07174011417504585,4.2701476575222713e-07,0.38666666666666666,0.6166666666666667,464234.5632103607
100,0.1,1.0,1.0,deterministic,0.1,exp4_dense,3,50.60658869277609,0.3667027283619247,0.00938272213146579,0.3433333333333333,0.5666666666666668,477995.98951405153
100,0.1,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,3,42.45218228674264,0.36601170715695974,0.009365041922962032,0.25333333333333335,0.45333333333333337,530405.1738769555
100,0.1,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,3,50.152291043670296,0.36684666169120234,0.009386567748933785,0.36000000000000004,0.5766666666666667,488975.9596346103
100,0.1,1.0,1.0,deterministic,0.1,oracle,3,91.91489067111296,0.36640489601768217,0.009375497634227958,0.8833333333333333,0.9500000000000001,82418.98473345737
100,0.1,1.0,1.0,deterministic,0.1,state_thompson,3,48.74095807412696,0.3665762450827581,0.009380111086421021,0.26333333333333336,0.47,536977.1087497986
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_dense,3,53.10283285998721,0.36641090948167926,0.009375002611452028,0.32666666666666666,0.5533333333333333,479303.97007420985
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,3,36.89672100806158,0.3116495174124431,0.00797462228546275,0.2733333333333334,0.48666666666666664,658554.0570722843
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,3,43.20551641167517,0.3118241149425845,0.007978750569856169,0.2866666666666667,0.49000000000000005,556200.6328184219
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,3,65.57883771637466,0.3670922373848226,0.009393314520025975,0.41333333333333333,0.69,355846.7122089686
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,3,66.49306707417803,0.31160653536157285,0.007973412094897615,0.4533333333333333,0.69,342534.32143847394
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,3,67.2486702283551,0.31255876647745207,0.007997230911243075,0.4466666666666666,0.6733333333333333,329266.17127679405
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,3,67.5401799792648,0.07210991240500234,0.0002913212972380714,0.4466666666666667,0.6933333333333334,310324.59191571386
100,0.1,1.0,1.0,deterministic,0.1,tm_tw_support_offline,3,52.753135495490795,0.07266781135836088,0.0002954847259834579,0.3633333333333333,0.62,499744.8460855651
100,0.1,1.0,1.0,deterministic,0.1,tw_dense,3,42.75373098508391,0.3660231970348085,0.009365293978954822,0.26666666666666666,0.4633333333333333,569270.871794608
100,0.1,1.0,1.0,deterministic,0.1,tw_gated_offline,3,44.93670792219999,0.31198203383324247,0.007983115448548777,0.2733333333333333,0.4633333333333334,573086.4503044639
100,0.1,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,3,30.439163138436328,0.31185071307298035,0.007979677542063005,0.21333333333333335,0.45333333333333337,713573.4888376234
100,0.1,1.0,1.0,deterministic,0.1,tw_support_offline,3,38.32204814162205,0.07206849232708341,0.00027082412002391704,0.24,0.45,557137.0147719015
100,0.2,1.0,1.0,deterministic,0.1,exp4_dense,3,63.30770156131516,0.3721764629373004,0.009522891784955273,0.42333333333333334,0.6966666666666667,361465.5207045201
