region_code,region_name,year,mean_carbon_intensity_direct_gco2eq_per_kwh,mean_carbon_intensity_lca_gco2eq_per_kwh,mean_electricity_price_usd_per_mwh,carbon_hour_count,electricity_price_hour_count
AU-NSW,"New South Wales, Australia",2023,502.1011004566213,554.2200182648421,95.9515252179325,8760,8760
AU-VIC,"Victoria, Australia",2023,458.21366324200886,504.35137785388076,54.819318916908884,8760,8760
BR-SP,"São Paulo, Brazil",2023,56.119719178082036,90.26862899543383,12.618651860636785,8760,8760
CA-ON,"Ontario, Canada",2023,46.938297945205356,72.84708675799091,20.01051731464039,8760,8760
CL-SIC,Central Chile (SIC),2023,220.62682990867543,275.61041210045767,126.4090898095835,8760,8760
DE-LU,Germany/Luxembourg,2023,307.6619486301367,366.9715376712326,102.56681292018246,8760,8760
IN-WE,Western India,2023,691.1232968036562,749.1733812785402,61.85103332042083,8760,8760
JP-TK,"Tokyo, Japan",2023,449.85317009132456,539.662195205482,89.27642080479451,8760,8760
KR,South Korea,2023,378.2092408675786,439.73606506849296,110.98096260273903,8760,8760
SG,Singapore,2023,369.19970662100377,488.0854805936048,184.9008440647603,8760,8760
US-CAL-CISO,"California, USA (CAISO)",2023,193.95558447488565,260.7481312785387,61.52319328995439,8760,8760
US-MIDA-PJM,"Mid-Atlantic, USA (PJM)",2023,321.8161757990873,392.4031666666679,35.73868936906392,8760,8760
US-NY-NYIS,"New York, USA (NYISO)",2023,209.67985045662067,277.7621837899537,36.38787100456621,8760,8760
US-TEX-ERCO,"Texas, USA (ERCOT)",2023,316.7222808219178,380.5493881278534,55.93479109589043,8760,8760
ZA,South Africa,2023,644.5356997716899,702.125062785389,72.21921936529324,8760,8760
