policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,mix_trust_min,mix_trust_max,gate_scale_mult,beta_gate_concentration,regions
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,5368.477348207349,1342119.3370518372,23.715160875,10,0,2723,43.270833333333336,0.01,0.98,1.0,20.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,519.6554865270457,129913.87163176143,218.36285733300002,10,0,3177,77.9375,0.01,0.98,1.0,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG"
