computation,queue_states,grid_states,op_states,S,arms,budget,rounds,policy_label,display_name,policy,transition_variant,gate_mode,n,mean_avg_reward,mean_cum_reward,mean_walltime_seconds,mean_replan_calls,mean_event_replans,mean_states_computed,mean_computation_saving_pct
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tw_dense,TW,tw,dense,deterministic,1,5368.477348207349,1342119.3370518372,23.715160875,10.0,0.0,2723.0,43.270833333333336
Event-Driven TW (M1+M3),4,15,3,180,8,2,250,tw_dense,TW,tw,dense,deterministic,1,519.6554865270457,129913.87163176143,218.36285733300002,10.0,0.0,3177.0,77.9375
